Département,Commune,Nom,Type,Téléphone,Email,Site,Gestionnaire/Opérateur,Source,habitat_type,sous_categories
Lot-et-Garonne,Boé,MARPA Gilbert Cassagne,MARPA (Résidence autonomie),05 53 48 23 86,julien.durgueil-coupart@ville-boe.fr,https://www.marpa.fr/marpas/gilbert-cassagne/,CCAS Boé,citeturn13search0turn13search3,residence,MARPA
Lot-et-Garonne,Duras,MARPA La Bégatte,MARPA (Résidence autonomie),05 53 83 35 05,marpa847@orange.fr,https://www.marpa.fr/marpas/la-begatte/,CCAS Duras,citeturn13search2turn13search14,residence,MARPA
Lot-et-Garonne,Pont-du-Casse,MARPA Les Mûriers,MARPA (Résidence autonomie),05 53 66 45 01,marpa.pont-du-casse@wanadoo.fr,https://www.marpa.fr/marpas/les-muriers/,CCAS Pont-du-Casse,citeturn11search14turn11search0,residence,MARPA
Lot-et-Garonne,Le Passage,Résidence autonomie Le Canalet,Résidence autonomie,05 53 96 23 00,lecanalet@mutualite47.fr,https://www.mutualite47.fr/etablissement/residence-autonomie-le-canalet/,Mutualité Française Lot-et-Garonne,citeturn1search0,residence,Résidence autonomie
Lot-et-Garonne,Lavardac,MARPA Les Tilleuls,MARPA (Résidence autonomie),05 53 97 41 75,marpadelavardac@orange.fr,https://www.marpa.fr/marpas/les-tilleuls-2/,CCAS Lavardac,citeturn11search4,residence,MARPA
Lot-et-Garonne,Prayssas,MARPA des Vergers,MARPA (Résidence autonomie),05 53 87 72 05,marpadesvergers.responsable@orange.fr,,CIAS du Confluent,citeturn12search7,residence,MARPA
Lot-et-Garonne,Agen,DOMITYS Les Vergers d'Ébène,Résidence services seniors,02 47 51 97 00,relationclient@domitys.fr,https://www.domitys.fr/residence-services-senior/nouvelle-aquitaine/lot-et-garonne-47/agen-les-vergers-debene-47,DOMITYS (Aegide),citeturn20search0turn20search6,residence,Résidence services seniors
Lot-et-Garonne,Agen,Espace & Vie Agen,Résidence services seniors,0 800 111 300,info@espaceetvie.fr,https://www.residences-espaceetvie.fr/residences/residence-services-seniors-a-agen-lot-et-garonne-47,Espace & Vie (G2L/Lamotte),citeturn19search1,residence,Résidence services seniors
Lot-et-Garonne,Villeneuve-sur-Lot,API Résidence Villeneuve-sur-Lot,Résidence services seniors,09 72 10 10 01,contact@api-residence.fr,https://www.api-residence.fr/residence-services-seniors-villeneuve-sur-lot/,API Résidence,citeturn21search2turn21search12,residence,Résidence services seniors
Lot-et-Garonne,Agen,Happy Senior – Montesquieu,Résidence services seniors,05 56 68 87 78,montesquieu@residenceshappysenior.fr,https://residenceshappysenior.fr/residence/agen-montesquieu,Happy Senior,citeturn9search0turn9search3,residence,Résidence services seniors
Lot-et-Garonne,Casteljaloux,Senioriales Casteljaloux,Résidence services seniors,05 53 93 59 29,,https://www.senioriales.com/residences/casteljaloux,Senioriales,citeturn8search0,residence,Résidence services seniors
Lot-et-Garonne,Villeréal,Senioriales Villeréal,Résidence services seniors,05 53 36 26 28,,https://www.senioriales.com/residences/villereal,Senioriales,citeturn8search1,residence,Résidence services seniors
Lot-et-Garonne,Castillonnès,Ages & Vie – Castillonnès,Habitat inclusif (habitat partagé),06 61 12 41 81,contact@agesetvie.com,https://www.agesetvie.com/maisons/castillonnes,Ages & Vie,citeturn6search1turn6search0,habitat_partage,Habitat inclusif (habitat partagé)
Lot-et-Garonne,Monflanquin,Ages & Vie – Monflanquin,Habitat inclusif (habitat partagé),07 62 12 93 84,contact@agesetvie.com,https://www.agesetvie.com/maisons/monflanquin,Ages & Vie,citeturn6search2turn6search0,habitat_partage,Habitat inclusif (habitat partagé)
Lot-et-Garonne,Lavardac,Ages & Vie – Lavardac,Habitat inclusif (habitat partagé),07 67 66 88 39,contact@agesetvie.com,https://www.agesetvie.com/maisons/lavardac,Ages & Vie,citeturn6search3,habitat_partage,Habitat inclusif (habitat partagé)
Lot-et-Garonne,Montayral,CetteFamille – Familles d’accueil,Accueil familial / réseau habitat,09 77 35 11 11,contact@cettefamille.com,https://www.cettefamille.com/fr/agences/agence-montayral,CetteFamille,citeturn6search4,habitat_partage,Accueil familial / réseau habitat
Lot-et-Garonne,Département 47,Udaf 47 – Habitat inclusif (projets accompagnés),Opérateur / Association (habitat inclusif),05 24 99 60 60,accueil@udaf47.fr,https://www.udaf47.fr/habitat-inclusif,UDAF 47,citeturn7search2,habitat_partage,Opérateur / Association (habitat inclusif)
Lot-et-Garonne,Département 47,UNA Guyenne 47 – Habitat partagé (Sauvetat-du-Dropt…),Opérateur / Association (habitat inclusif),05 53 76 06 30,fusion-unaguyenne47@orange.fr,https://unaguyenne47.fr,UNA Guyenne 47,citeturn14search7,habitat_partage,Opérateur / Association (habitat inclusif)
Lot-et-Garonne,Département 47,Conseil départemental – Programme Habitat partagé / inclusif,Institution – Point d’entrée projets,,habitat@lotetgaronne.fr,https://www.lotetgaronne.fr/solidarites/personnes-agees/habitat-partage,Département 47,citeturn7search0,habitat_partage,Institution – Point d’entrée projets
